"STOCK LIST AS AT 06.04.26, 11.16AM",,,,,,
,,,,,,
,,,,,,
BIN,Item Code,Description,Desc 2,Total Bal. Qty,Cost,Item Group
WHEEL,DW-TYT-R-380X240X145,RECOATING TOYOTA DRIVE WHEEL 380MMX240MMX145MM [7FBR20] [PU],380X240X145,1,748,WHEEL
WHEEL,DW-TYT-R-380X246X165MM,RECOATING TOYOTA DRIVE WHEEL 380MMX246MMX165MM [2IN1],380X246X165MM[2IN1],1,925,WHEEL
WHEEL,DW-TYT-R-380X254X152,RECOATING TOYOTA DRIVE WHEEL 380MMX254MMX152MM [6FBR20] 2IN1,380X254X152,1,748,WHEEL
WHEEL,FW-ASR251-021000-001,FRONT WHEEL FOR HC REACH TRUCK CQD20-AC2S-I (C-SERIES),前轮,2,877.53,WHEEL
WHEEL,LW-150X120X100,PICKER LOAD WHEEL 150MMX120MMX100MM,150X120X100,2,177,WHEEL
WHEEL,LW-85X70,LOAD WHEEL 85X70 [YS],RPL201 [1120-133003-0A] ,0,52,WHEEL
WHEEL,LW-BT-285X230X90-LNM,RECOATING BT LOAD WHEEL 285X230X90,285X230X90 [RRM16],0,300,WHEEL
WHEEL,LW-BT-300X200X100-LNM,RECOATING BT LOAD WHEEL 300X200X100,300X200X100,4,350,WHEEL
WHEEL,LW-BT-300X250X100MM,RECOATING BT LOAD WHEEL 300MMX250MMX100MM [LNM],300X250X100 [RRE160],3,350,WHEEL
WHEEL,LW-BT-300X250X120,PU BT RRB2- LOAD WHEEL 300X250X120, LOAD WHEEL 300X250X120,0,350,WHEEL
WHEEL,LW-BT-350X300X108,RECOATING BT LOAD WHEEL 350MMX300MMX108MM~ GEAR [LNM],350X300X108 [RRB7],10,480,WHEEL
WHEEL,LW-BT-R-285X230X85,RECOATING BT LOAD WHEEL PU 285MMX230MMX85MM BT16,285X230X85,0,397,WHEEL
WHEEL,LW-BT-R-285X240X100-L,RECOATING BT LOAD WHEEL PU 285MMX240MMX100MM [LNM],285X240X100,0,300,WHEEL
WHEEL,LW-BT-R-285X240X74,RECOATING BT LOAD WHEEL PU 285MMX240MMX74MM [LNM],285X240X74,2,300,WHEEL
WHEEL,LW-BT-R-285X240X75,RECOATING BT LOAD WHEEL PU 285MMX240MMX75MM,285X240X75,2,363,WHEEL
WHEEL,LW-BT-R-285X250X100,RECOATING BT LOAD WHEEL PU 285MMX250MMX100MM,285X250X100,2,363,WHEEL
WHEEL,LW-BT-R-300X250X100MM,RECOATING BT LOAD WHEEL 300MMX250MMX100MM ,300X250X100,0,397,WHEEL
WHEEL,LW-BT-R-350X300X100,RECOATING BT LOAD WHEEL 350MMX300MMX100MM [PU],350X300X100MM,1,510,WHEEL
WHEEL,LW-BT-R-350X330X100,RECOATING BT LOAD WHEEL 350MMX330MMX100MM [PU],350X330X100MM,0,510,WHEEL
WHEEL,LW-BT-R-80X52X100,RECOATING BT LOAD WHEEL 80MMX52MMX100MM ,80X52X100,3,44.1,WHEEL
WHEEL,LW-BT-R-80X52X90,RECOATING BT LOAD WHEEL 80MMX52MMX90MM,80X52X90,1,48,WHEEL
WHEEL,LW-BT-R-80X52X95,RECOATING BT LOAD WHEEL 80MMX52MMX95MM,80X52X95,0,44.1,WHEEL
WHEEL,LW-BT-R-80X62X100,POWER TRUCK WHEEL FOR RECOATING C/W RIM,80X62X100,0,74,WHEEL
WHEEL,LW-BT-R-85X60X100C,RECOATING BT LOAD WHEEL PU 85MMX60MMX100MM CHOCOLATE,85X60X100,1,30,WHEEL
WHEEL,LW-BT-R-85X60X100-C-RIM,RECOATING BT LOAD WHEEL PU 85MMX60MMX100MM CHOCOLATE C/W RIM,85X60X100,2,48,WHEEL
WHEEL,LW-BT-R-85X62X100,RECOATING BT LOAD WHEEL PU 85MMX62MMX100MM ,85X62X100,0,74,WHEEL
WHEEL,LW-BT-R-85X62X95,RECOATING BT LOAD WHEEL PU 85MMX62MMX95MM ,85X62X95,3,74,WHEEL
WHEEL,LW-C-254X120X190,LOAD WHEEL ,254X120X190,22,205.33,WHEEL
WHEEL,LW-C-267x127x165,LOAD WHEEL,267x127x165,10,274.43,WHEEL
WHEEL,LW-C-85x70/75x25,LOAD WHEEL,85x70/75x25,21,25.58,WHEEL
WHEEL,LW-C-85x95/97x25,LOAD WHEEL,85x95/97x25,96,29.71,WHEEL
WHEEL,LWG-BT-R-350X300X106MM,RECOATING BT REACH TRUCK PU LOAD WHEEL 350MMX300MMX106MM ,350X300X106,0,510,WHEEL
WHEEL,LW-HPT-82X93[NYLON],HPT LOAD WHEEL 82X93MM [NYLON],82X93 [NYLON],11,35,WHEEL
WHEEL,LW-HPT-82X93[PU],HPT LOAD WHEEL 82X93MM [PU],82X93 [PU],33,35,WHEEL
WHEEL,LW-NYK-N-254X180X114-NM,NEW NYK LOAD WHEEL 254MMX180MMX114MM [PU] C/W NEW RIM - NON MARKING,254X180X114,1,365,WHEEL
WHEEL,LW-NYK-R-254X180X114,RECOATING NYK LOAD WHEEL 254MMX180MMX114MM [PU],254X180X114,1,141.75,WHEEL
WHEEL,LW-TYT-2IN1-5/6/7FBR15,TOYOTA LOAD WHEEL 5/6/7FBR15-[254MMX190MMX120MM] [PU]-2 IN 1,254X190X120,2,286,WHEEL
WHEEL,LW-TYT-R-127X90X50,RECOATING BT STACKER SUPPORT WHEEL 127MMX90MMX50MM,127X90X50,6,54,WHEEL
WHEEL,LW-TYT-R-127X90X60,RECOATING BT STACKER WHEEL 127MMX90MMX60MM,127X90X60,1,54,WHEEL
WHEEL,LW-TYT-R-254X158X102,RECOATING TOYOTA LOAD WHEEL 254MMX158MMX102MM [6FBR],254X158X102,2,153,WHEEL
